,majorityvote,majorityvotemax,boundth6,boundth7,div_boundth7,r_boundth7,tv_boundth7
fashion_co_sh_0.01_uniformnoise_nothing_1_l2_100,0.2039999961853028,0.2039999961853028,0.4437519907951355,0.4751666486263275,0.0007808587397448719,0.1907987296581269,-1.0
fashion_co_sh_0.01_uniformnoisepgd_pgd_1_l2_100,0.3889999985694885,0.3899999856948853,,,,,
fashion_co_sh_0.01_nothing_nothing_1_l2_100,0.12200000137090684,0.12200000137090684,0.2755375504493713,0.3182087242603302,0.02327536791563034,0.11227171123027804,-1.0
fashion_co_sh_0.01_uniformnoise_iterativefgsm_1_l2_100,0.6054999828338623,0.6054999828338623,,,,,
fashion_co_sh_0.01_uniformnoiseiterativefgsm_nothing_1_l2_100,0.15049999952316284,0.14949999749660492,0.4227457344532013,0.4578549265861511,0.6787756681442261,0.1807154715061188,-1.0
fashion_co_sh_0.01_uniformnoiseiterativefgsm_iterativefgsm_1_l2_100,0.35600000619888306,0.3544999957084656,,,,,
fashion_co_sh_0.01_uniformnoise_pgd_1_l2_100,0.75,0.75,,,,,
fashion_co_sh_0.01_uniformnoisepgd_iterativefgsm_1_l2_100,0.3605000078678131,0.3619999885559082,,,,,
fashion_co_sh_0.01_nothing_iterativefgsm_1_l2_100,0.6524999737739563,0.6585000157356262,,,,,
fashion_co_sh_0.01_uniformnoisepgd_nothing_1_l2_100,0.1679999977350235,0.16699999570846558,0.4222825765609741,0.4627406299114227,0.3915109932422638,0.18375788629055026,-1.0
fashion_co_sh_0.01_uniformnoiseiterativefgsm_pgd_1_l2_100,0.3910000026226044,0.3899999856948853,,,,,
fashion_co_sh_0.01_nothing_pgd_1_l2_100,0.7440000176429749,0.7450000047683716,,,,,
fashion_sa_bo_0.01_nothing_pgd_1_l2_100,0.6945000290870667,0.6769999861717224,,,,,
fashion_sa_bo_0.01_uniformnoise_nothing_1_l2_100,0.07100000232458115,0.07100000232458115,0.1849234700202942,0.2360623031854629,0.0027875769883394237,0.07124227285385132,-1.0
fashion_sa_bo_0.01_nothing_nothing_1_l2_100,0.020500000566244125,0.01899999938905239,0.059380833059549325,0.13000690937042236,0.03953395783901215,0.018136110156774517,-1.0
fashion_sa_bo_0.01_uniformnoiseiterativefgsm_nothing_1_l2_100,0.02800000086426735,0.027499999850988388,0.09114308655261992,0.1551191359758377,0.03617431968450546,0.030699387192726125,-1.0
fashion_sa_bo_0.01_uniformnoiseiterativefgsm_pgd_1_l2_100,0.11500000208616255,0.1120000034570694,,,,,
fashion_sa_bo_0.01_uniformnoisepgd_pgd_1_l2_100,0.10300000011920928,0.10249999910593033,,,,,
fashion_sa_bo_0.01_nothing_iterativefgsm_1_l2_100,0.4505000114440918,0.4045000076293945,,,,,
fashion_sa_bo_0.01_uniformnoisepgd_nothing_1_l2_100,0.03350000083446504,0.03400000184774399,0.09443160891532898,0.15764570236206055,0.03349020332098007,0.03196839988231659,-1.0
fashion_sa_bo_0.01_uniformnoisepgd_iterativefgsm_1_l2_100,0.09200000017881392,0.09200000017881392,,,,,
fashion_sa_bo_0.01_uniformnoise_iterativefgsm_1_l2_100,0.3264999985694885,0.3334999978542328,,,,,
fashion_sa_bo_0.01_uniformnoiseiterativefgsm_iterativefgsm_1_l2_100,0.0949999988079071,0.09300000220537186,,,,,
fashion_sa_bo_0.01_uniformnoise_pgd_1_l2_100,0.4225000143051148,0.4855000078678131,,,,,
fashion_to_pu_0.01_uniformnoisepgd_pgd_1_l2_100,0.10849999636411667,0.1040000021457672,,,,,
fashion_to_pu_0.01_uniformnoisepgd_iterativefgsm_1_l2_100,0.09399999678134917,0.08950000256299973,,,,,
fashion_to_pu_0.01_uniformnoiseiterativefgsm_pgd_1_l2_100,0.10649999976158142,0.1094999983906746,,,,,
fashion_to_pu_0.01_uniformnoiseiterativefgsm_nothing_1_l2_100,0.04100000113248825,0.039000000804662704,0.09379366040229796,0.15840336680412292,0.3891794979572296,0.031594149768352515,-1.0
fashion_to_pu_0.01_nothing_pgd_1_l2_100,0.2919999957084656,0.28850001096725464,,,,,
fashion_to_pu_0.01_nothing_nothing_1_l2_100,0.038499999791383736,0.038499999791383736,0.08780555427074432,0.15258653461933136,0.03883382678031922,0.029427412897348407,-1.0
fashion_to_pu_0.01_nothing_iterativefgsm_1_l2_100,0.19449999928474426,0.193000003695488,,,,,
fashion_to_pu_0.01_uniformnoise_iterativefgsm_1_l2_100,0.17749999463558194,0.19699999690055847,,,,,
fashion_to_pu_0.01_uniformnoiseiterativefgsm_iterativefgsm_1_l2_100,0.0820000022649765,0.0820000022649765,,,,,
fashion_to_pu_0.01_uniformnoisepgd_nothing_1_l2_100,0.04450000077486038,0.04600000008940697,0.10583571344614028,0.17178678512573242,1.1205767393112185,0.03677356615662575,-1.0
fashion_to_pu_0.01_uniformnoise_nothing_1_l2_100,0.039000000804662704,0.04050000011920929,0.0910552367568016,0.15534265339374542,0.031710445880889886,0.030820669606328014,-1.0
fashion_to_pu_0.01_uniformnoise_pgd_1_l2_100,0.2395000010728836,0.25,,,,,
fashion_co_sh_0.01_uniformnoise_uniformnoise_1_l2_100,0.13760000467300415,0.17299999296665192,0.30548095703125,0.4008628129959105,0.0007808587397448719,0.1536468118429184,-1.0
fashion_co_sh_0.01_uniformnoiseiterativefgsm_uniformnoise_1_l2_100,0.14525499939918518,0.16200000047683716,0.4121862053871155,0.4783902168273926,0.6787756681442261,0.1909831166267395,-1.0
fashion_co_sh_0.01_uniformnoisepgd_uniformnoisepgd_1_l2_100,0.3061450123786926,0.31850001215934753,0.767709493637085,0.8104018568992615,0.3915109932422638,0.3575884997844696,-1.0
fashion_co_sh_0.01_uniformnoisepgd_uniformnoise_1_l2_100,0.1653600037097931,0.17649999260902405,0.4264895915985107,0.4890634715557098,0.3915109932422638,0.1969193071126938,-1.0
fashion_co_sh_0.01_nothing_uniformnoise_1_l2_100,0.15174999833106995,0.1835000067949295,0.3257558941841125,0.4291554093360901,0.02327536791563034,0.16774505376815796,-1.0
fashion_co_sh_0.01_nothing_uniformnoisepgd_1_l2_100,0.6742600202560425,0.7670000195503235,1.3863130807876587,1.5758705139160156,0.02327536791563034,0.7411026358604431,-1.0
fashion_co_sh_0.01_uniformnoise_uniformnoiseiterativefgsm_1_l2_100,0.4225600063800812,0.5295000076293945,0.8714151382446289,1.0907080173492432,0.0007808587397448719,0.4985694289207458,-1.0
